symbol,name,sector,industry,marketCap,rank
HG,"Hamilton Insurance Group, Ltd.",Financial Services,Insurance - Reinsurance,2370423040.0,4.0
SPNT,SiriusPoint Ltd.,Financial Services,Insurance - Reinsurance,2185747200.0,5.0
FNF,"Fidelity National Financial, Inc.",Financial Services,Insurance - Specialty,16268056576.0,1.0
RYAN,"Ryan Specialty Holdings, Inc.",Financial Services,Insurance - Specialty,14923864064.0,2.0
AXS,AXIS Capital Holdings Limited,Financial Services,Insurance - Specialty,7706393088.0,3.0
FAF,First American Financial Corporation,Financial Services,Insurance - Specialty,6718799872.0,4.0
MTG,MGIC Investment Corporation,Financial Services,Insurance - Specialty,6415455232.0,5.0
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,101181136896.0,1.0
AON,Aon plc,Financial Services,Insurance Brokers,79135113216.0,2.0
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,77613899776.0,3.0
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,31978278912.0,4.0
WTW,Willis Towers Watson Public Limited Company,Financial Services,Insurance Brokers,31877711872.0,5.0
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,74111524864.0,1.0
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,54520504320.0,2.0
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,16359569408.0,3.0
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,15198311424.0,4.0
ZTO,ZTO Express (Cayman) Inc.,Industrials,Integrated Freight & Logistics,14536176640.0,5.0
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,2578310758400.0,1.0
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,2578297651200.0,2.0
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1855717900288.0,3.0
SPOT,Spotify Technology S.A.,Communication Services,Internet Content & Information,140315901952.0,4.0
RDDT,"Reddit, Inc.",Communication Services,Internet Content & Information,42125074432.0,5.0
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2442261954560.0,1.0
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,335395356672.0,2.0
PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,170670325760.0,3.0
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,125370105856.0,4.0
SE,Sea Limited,Consumer Cyclical,Internet Retail,110435401728.0,5.0
AS,"Amer Sports, Inc.",Consumer Cyclical,Leisure,21805731840.0,1.0
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,11382711296.0,2.0
PLNT,"Planet Fitness, Inc.",Consumer Cyclical,Leisure,8827681792.0,3.0
LTH,"Life Time Group Holdings, Inc.",Consumer Cyclical,Leisure,6142288384.0,4.0
MAT,"Mattel, Inc.",Consumer Cyclical,Leisure,5896259584.0,5.0
MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,72712732672.0,1.0
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,64927653888.0,2.0
IHG,InterContinental Hotels Group PLC,Consumer Cyclical,Lodging,18705543168.0,3.0
H,Hyatt Hotels Corporation,Consumer Cyclical,Lodging,13776575488.0,4.0
HTHT,H World Group Limited,Consumer Cyclical,Lodging,11449110528.0,5.0
SSD,"Simpson Manufacturing Co., Inc.",Basic Materials,Lumber & Wood Production,7953897984.0,1.0
UFPI,"UFP Industries, Inc.",Basic Materials,Lumber & Wood Production,5913419264.0,2.0
WFG,West Fraser Timber Co. Ltd.,Basic Materials,Lumber & Wood Production,5741852160.0,3.0
BCC,Boise Cascade Company,Basic Materials,Lumber & Wood Production,3248362496.0,4.0
NWGL,Nature Wood Group Limited,Basic Materials,Lumber & Wood Production,22845072.0,5.0
TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,21191186432.0,1.0
SIG,Signet Jewelers Limited,Consumer Cyclical,Luxury Goods,3623275264.0,2.0
CPRI,Capri Holdings Limited,Consumer Cyclical,Luxury Goods,2451198464.0,3.0
LUXE,LuxExperience B.V.,Consumer Cyclical,Luxury Goods,1265550720.0,4.0
REAL,"The RealReal, Inc.",Consumer Cyclical,Luxury Goods,879258304.0,5.0
KEX,Kirby Corporation,Industrials,Marine Shipping,5423759872.0,1.0
MATX,"Matson, Inc.",Industrials,Marine Shipping,3307645440.0,2.0
HAFN,Hafnia Limited,Industrials,Marine Shipping,3052678912.0,3.0
BWLP,BW LPG Limited,Industrials,Marine Shipping,2356410624.0,4.0
SBLK,Star Bulk Carriers Corp.,Industrials,Marine Shipping,2131918720.0,5.0
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,94524211200.0,1.0
THC,Tenet Healthcare Corporation,Healthcare,Medical Care Facilities,16285740032.0,2.0
FMS,Fresenius Medical Care AG,Healthcare,Medical Care Facilities,15081454592.0,3.0
EHC,Encompass Health Corporation,Healthcare,Medical Care Facilities,12264154112.0,4.0
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,11555515392.0,5.0
ABT,Abbott Laboratories,Healthcare,Medical Devices,230889439232.0,1.0
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,156324626432.0,2.0
SYK,Stryker Corporation,Healthcare,Medical Devices,149638791168.0,3.0
MDT,Medtronic plc,Healthcare,Medical Devices,119046463488.0,4.0
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,47754715136.0,5.0
MCK,McKesson Corporation,Healthcare,Medical Distribution,85407031296.0,1.0
COR,"Cencora, Inc.",Healthcare,Medical Distribution,56536760320.0,2.0
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,35527770112.0,3.0
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,8437827584.0,4.0
AHG,Akso Health Group,Healthcare,Medical Distribution,939133760.0,5.0
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,169665380352.0,1.0
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,55313276928.0,2.0
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,40192385024.0,3.0
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,39522390016.0,4.0
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,17757505536.0,5.0
CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication,12007891968.0,1.0
ATI,ATI Inc.,Industrials,Metal Fabrication,10687493120.0,2.0
MLI,"Mueller Industries, Inc.",Industrials,Metal Fabrication,10620654592.0,3.0
ESAB,ESAB Corporation,Industrials,Metal Fabrication,7002809344.0,4.0
WOR,"Worthington Enterprises, Inc.",Industrials,Metal Fabrication,3276412416.0,5.0
RKT,"Rocket Companies, Inc.",Financial Services,Mortgage Finance,37506961408.0,1.0
COOP,Mr. Cooper Group Inc.,Financial Services,Mortgage Finance,12064656384.0,2.0
UWMC,UWM Holdings Corporation,Financial Services,Mortgage Finance,9868580864.0,3.0
PFSI,"PennyMac Financial Services, Inc.",Financial Services,Mortgage Finance,5693271040.0,4.0
WD,"Walker & Dunlop, Inc.",Financial Services,Mortgage Finance,2897576960.0,5.0
NE,Noble Corporation plc,Energy,Oil & Gas Drilling,4577336320.0,1.0
RIG,Transocean Ltd.,Energy,Oil & Gas Drilling,2857668608.0,2.0
SOC,Sable Offshore Corp.,Energy,Oil & Gas Drilling,2684704256.0,3.0
PTEN,"Patterson-UTI Energy, Inc.",Energy,Oil & Gas Drilling,2237820416.0,4.0
HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Drilling,2077297408.0,5.0
COP,ConocoPhillips,Energy,Oil & Gas E&P,123607597056.0,1.0
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,68150849536.0,2.0
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas E&P,65856372736.0,3.0
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,46869188608.0,4.0
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,43063939072.0,5.0
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,54953123840.0,1.0
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,44758908928.0,2.0
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,19379642368.0,3.0
TS,Tenaris S.A.,Energy,Oil & Gas Equipment & Services,18908080128.0,4.0
FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,15108947968.0,5.0
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,487246823424.0,1.0
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,323580100608.0,2.0
SHEL,Shell plc,Energy,Oil & Gas Integrated,214750674944.0,3.0
TTE,TotalEnergies SE,Energy,Oil & Gas Integrated,137096822784.0,4.0
BP,BP p.l.c.,Energy,Oil & Gas Integrated,90796163072.0,5.0
ENB,Enbridge Inc.,Energy,Oil & Gas Midstream,105456615424.0,1.0
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,70681903104.0,2.0
EPD,Enterprise Products Partners L.P.,Energy,Oil & Gas Midstream,69591138304.0,3.0
ET,Energy Transfer LP,Energy,Oil & Gas Midstream,60827086848.0,4.0
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,59951718400.0,5.0
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,54635438080.0,1.0
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,53982883840.0,2.0
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,47222210560.0,3.0
DINO,HF Sinclair Corporation,Energy,Oil & Gas Refining & Marketing,9518681088.0,4.0
SUN,Sunoco LP,Energy,Oil & Gas Refining & Marketing,7144440832.0,5.0
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,141882785792.0,1.0
RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,101898051584.0,2.0
VALE,Vale S.A.,Basic Materials,Other Industrial Metals & Mining,43883057152.0,3.0
TECK,Teck Resources Limited,Basic Materials,Other Industrial Metals & Mining,16714293248.0,4.0
MP,MP Materials Corp.,Basic Materials,Other Industrial Metals & Mining,12598751232.0,5.0
HL,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,5701563904.0,1.0
TFPM,Triple Flag Precious Metals Corp.,Basic Materials,Other Precious Metals & Mining,5651768320.0,2.0
SBSW,Sibanye Stillwater Limited,Basic Materials,Other Precious Metals & Mining,5356850176.0,3.0
BVN,Compañía de Minas Buenaventura S.A.A.,Basic Materials,Other Precious Metals & Mining,4856104960.0,4.0
PPTA,Perpetua Resources Corp.,Basic Materials,Other Precious Metals & Mining,2029846016.0,5.0
JBS,JBS N.V.,Consumer Defensive,Packaged Foods,35955720192.0,1.0
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,33105291264.0,2.0
K,Kellanova,Consumer Defensive,Packaged Foods,27639685120.0,3.0
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,26376062976.0,4.0
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,18881257472.0,5.0
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,26230147072.0,1.0
SW,Smurfit Westrock Plc,Consumer Cyclical,Packaging & Containers,24727840768.0,2.0
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,19890941952.0,3.0
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,19611779072.0,4.0
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,14325922816.0,5.0
SUZ,Suzano S.A.,Basic Materials,Paper & Paper Products,12025403392.0,1.0
SLVM,Sylvamo Corporation,Basic Materials,Paper & Paper Products,1862388096.0,2.0
MAGN,Magnera Corporation,Basic Materials,Paper & Paper Products,441440000.0,3.0
CLW,Clearwater Paper Corporation,Basic Materials,Paper & Paper Products,347365440.0,4.0
MERC,Mercer International Inc.,Basic Materials,Paper & Paper Products,223051712.0,5.0
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,27401545728.0,1.0
SCI,Service Corporation International,Consumer Cyclical,Personal Services,11114019840.0,2.0
HRB,"H&R Block, Inc.",Consumer Cyclical,Personal Services,6744231424.0,3.0
BFAM,Bright Horizons Family Solutions Inc.,Consumer Cyclical,Personal Services,6713159168.0,4.0
FTDR,"Frontdoor, Inc.",Consumer Cyclical,Personal Services,4425601024.0,5.0
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,10369420288.0,1.0
HITI,High Tide Inc.,Healthcare,Pharmaceutical Retailers,291956800.0,2.0
WGRX,"Wellgistics Health, Inc.",Healthcare,Pharmaceutical Retailers,103398840.0,3.0
PETS,"PetMed Express, Inc.",Healthcare,Pharmaceutical Retailers,63415452.0,4.0
SCNX,"Scienture Holdings, Inc.",Healthcare,Pharmaceutical Retailers,18872296.0,5.0
VLTO,Veralto Corporation,Industrials,Pollution & Treatment Controls,26352216064.0,1.0
ZWS,Zurn Elkay Water Solutions Corporation,Industrials,Pollution & Treatment Controls,7600203776.0,2.0
FSS,Federal Signal Corporation,Industrials,Pollution & Treatment Controls,7476795904.0,3.0
PCT,"PureCycle Technologies, Inc.",Industrials,Pollution & Treatment Controls,2573528832.0,4.0
CECO,CECO Environmental Corp.,Industrials,Pollution & Treatment Controls,1610608128.0,5.0
NYT,The New York Times Company,Communication Services,Publishing,9743089664.0,1.0
PSO,Pearson plc,Communication Services,Publishing,9408271360.0,2.0
WLY,"John Wiley & Sons, Inc.",Communication Services,Publishing,2157618432.0,3.0
WLYB,"John Wiley & Sons, Inc.",Communication Services,Publishing,2157618432.0,4.0
SCHL,Scholastic Corporation,Communication Services,Publishing,644076288.0,5.0
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,36021977088.0,1.0
WPC,W. P. Carey Inc.,Real Estate,REIT - Diversified,14694296576.0,2.0
BNL,"Broadstone Net Lease, Inc.",Real Estate,REIT - Diversified,3672119808.0,3.0
ESRT,"Empire State Realty Trust, Inc.",Real Estate,REIT - Diversified,2272348416.0,4.0
GNL,"Global Net Lease, Inc.",Real Estate,REIT - Diversified,1739018112.0,5.0
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,112550035456.0,1.0
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,30940387328.0,2.0
OHI,"Omega Healthcare Investors, Inc.",Real Estate,REIT - Healthcare Facilities,12907649024.0,3.0
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,12466919424.0,4.0
CTRE,"CareTrust REIT, Inc.",Real Estate,REIT - Healthcare Facilities,7664689664.0,5.0
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,11985559552.0,1.0
RHP,"Ryman Hospitality Properties, Inc.",Real Estate,REIT - Hotel & Motel,6223750144.0,2.0
APLE,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel,3095089408.0,3.0
PK,Park Hotels & Resorts Inc.,Real Estate,REIT - Hotel & Motel,2350988800.0,4.0
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,REIT - Hotel & Motel,1796469376.0,5.0
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,105595002880.0,1.0
PSA,Public Storage,Real Estate,REIT - Industrial,51686694912.0,2.0
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,31817469952.0,3.0
LINE,"Lineage, Inc.",Real Estate,REIT - Industrial,10468992000.0,4.0
REXR,"Rexford Industrial Realty, Inc.",Real Estate,REIT - Industrial,10139404288.0,5.0
NLY,"Annaly Capital Management, Inc.",Real Estate,REIT - Mortgage,13605591040.0,1.0
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,10167284736.0,2.0
AGNCM,AGNC Investment Corp.,Real Estate,REIT - Mortgage,8919369728.0,3.0
AGNCN,AGNC Investment Corp.,Real Estate,REIT - Mortgage,8764869632.0,4.0
STWD,"Starwood Property Trust, Inc.",Real Estate,REIT - Mortgage,7636499968.0,5.0
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,14074238976.0,1.0
BXP,"BXP, Inc.",Real Estate,REIT - Office,12819986432.0,2.0
VNO,Vornado Realty Trust,Real Estate,REIT - Office,7938723840.0,3.0
KRC,Kilroy Realty Corporation,Real Estate,REIT - Office,4967717376.0,4.0
CUZ,Cousins Properties Incorporated,Real Estate,REIT - Office,4954113536.0,5.0
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,27885713408.0,1.0
EQR,Equity Residential,Real Estate,REIT - Residential,26022320128.0,2.0
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,19181021184.0,3.0
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,18662998016.0,4.0
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,17501462528.0,5.0
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,68146221056.0,1.0
O,Realty Income Corporation,Real Estate,REIT - Retail,53724618752.0,2.0
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,15230227456.0,3.0
REG,Regency Centers Corporation,Real Estate,REIT - Retail,13242125312.0,4.0
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,8727267328.0,5.0
AMT,American Tower Corporation,Real Estate,REIT - Specialty,95452971008.0,1.0
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,76939698176.0,2.0
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,58225057792.0,3.0
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,43172495360.0,4.0
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,27269480448.0,5.0
UNP,Union Pacific Corporation,Industrials,Railroads,132585955328.0,1.0
CP,Canadian Pacific Kansas City Limited,Industrials,Railroads,69940592640.0,2.0
NSC,Norfolk Southern Corporation,Industrials,Railroads,62814633984.0,3.0
CSX,CSX Corporation,Industrials,Railroads,60607741952.0,4.0
CNI,Canadian National Railway Company,Industrials,Railroads,60410077184.0,5.0
HHH,Howard Hughes Holdings Inc.,Real Estate,Real Estate - Development,4530529280.0,1.0
VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",Real Estate,Real Estate - Development,2326485248.0,2.0
CCS,"Century Communities, Inc.",Real Estate,Real Estate - Development,1955305088.0,3.0
FOR,Forestar Group Inc.,Real Estate,Real Estate - Development,1406554624.0,4.0
SDHC,Smith Douglas Homes Corp.,Real Estate,Real Estate - Development,1008993344.0,5.0
JOE,The St. Joe Company,Real Estate,Real Estate - Diversified,2922047744.0,1.0
STRS,Stratus Properties Inc.,Real Estate,Real Estate - Diversified,157212464.0,2.0
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,48239452160.0,1.0
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,37912436736.0,2.0
BEKE,KE Holdings Inc.,Real Estate,Real Estate Services,21429491712.0,3.0
JLL,Jones Lang LaSalle Incorporated,Real Estate,Real Estate Services,14478273536.0,4.0
BPYPP,Brookfield Property Partners L.P.,Real Estate,Real Estate Services,10057878528.0,5.0
THO,"THOR Industries, Inc.",Consumer Cyclical,Recreational Vehicles,5793850368.0,1.0
DOOO,BRP Inc.,Consumer Cyclical,Recreational Vehicles,4595266560.0,2.0
BC,Brunswick Corporation,Consumer Cyclical,Recreational Vehicles,4154385664.0,3.0
HOG,"Harley-Davidson, Inc.",Consumer Cyclical,Recreational Vehicles,3539623424.0,4.0
PII,Polaris Inc.,Consumer Cyclical,Recreational Vehicles,3181188096.0,5.0
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,61532065792.0,1.0
AER,AerCap Holdings N.V.,Industrials,Rental & Leasing Services,22021285888.0,2.0
FTAI,FTAI Aviation Ltd.,Industrials,Rental & Leasing Services,15780548608.0,3.0
UHAL,U-Haul Holding Company,Industrials,Rental & Leasing Services,9895203840.0,4.0
R,"Ryder System, Inc.",Industrials,Rental & Leasing Services,7649053696.0,5.0
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,50526052352.0,1.0
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,34296995840.0,2.0
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,26047283200.0,3.0
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,22429878272.0,4.0
TOL,"Toll Brothers, Inc.",Consumer Cyclical,Residential Construction,13397236736.0,5.0
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,39560347648.0,1.0
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,13179084800.0,2.0
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,10803260416.0,3.0
BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,6884615680.0,4.0
RRR,"Red Rock Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,6339014656.0,5.0
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,223743393792.0,1.0
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,100245577728.0,2.0
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,56504680448.0,3.0
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,40789467136.0,4.0
QSR,Restaurant Brands International Inc.,Consumer Cyclical,Restaurants,28786905088.0,5.0
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,46548901888.0,1.0
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,28086425600.0,2.0
TDY,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments,25233983488.0,3.0
TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,19232653312.0,4.0
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,16192760832.0,5.0
ALLE,Allegion plc,Industrials,Security & Protection Services,14576735232.0,1.0
ADT,ADT Inc.,Industrials,Security & Protection Services,7142905856.0,2.0
MSA,MSA Safety Incorporated,Industrials,Security & Protection Services,6677830144.0,3.0
BCO,The Brink's Company,Industrials,Security & Protection Services,4667844096.0,4.0
BRC,Brady Corporation,Industrials,Security & Protection Services,3694402048.0,5.0
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,292382113792.0,1.0
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,128068157440.0,2.0
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,126751842304.0,3.0
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,115069992960.0,4.0
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,18808909824.0,5.0
NVDA,NVIDIA Corporation,Technology,Semiconductors,4239080554496.0,1.0
AVGO,Broadcom Inc.,Technology,Semiconductors,1398764994560.0,2.0
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,1197411926016.0,3.0
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,263922483200.0,4.0
TXN,Texas Instruments Incorporated,Technology,Semiconductors,184082055168.0,5.0
AACT,Ares Acquisition Corporation II,Financial Services,Shell Companies,705819136.0,1.0
CCCX,Churchill Capital Corp X,Financial Services,Shell Companies,526745984.0,2.0
ANSC,Agriculture & Natural Solutions Acquisition Corporation,Financial Services,Shell Companies,470924992.0,3.0
EQV,EQV Ventures Acquisition Corp.,Financial Services,Shell Companies,463553984.0,4.0
AAM,AA Mission Acquisition Corp.,Financial Services,Shell Companies,461727008.0,5.0
AG,First Majestic Silver Corp.,Basic Materials,Silver,4469560832.0,1.0
EXK,Endeavour Silver Corp.,Basic Materials,Silver,1810667008.0,2.0
SAP,SAP SE,Technology,Software - Application,316957556736.0,1.0
CRM,"Salesforce, Inc.",Technology,Software - Application,244974993408.0,2.0
UBER,"Uber Technologies, Inc.",Technology,Software - Application,195508125696.0,3.0
NOW,"ServiceNow, Inc.",Technology,Software - Application,190390386688.0,4.0
INTU,Intuit Inc.,Technology,Software - Application,186057654272.0,5.0
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3766312763392.0,1.0
ORCL,Oracle Corporation,Technology,Software - Infrastructure,635160756224.0,2.0
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,371769409536.0,3.0
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,127438823424.0,4.0
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,111640551424.0,5.0
FSLR,"First Solar, Inc.",Technology,Solar,20933736448.0,1.0
NXT,Nextracker Inc.,Technology,Solar,10208858112.0,2.0
ENPH,"Enphase Energy, Inc.",Technology,Solar,4929312768.0,3.0
RUN,Sunrun Inc.,Technology,Solar,3684805888.0,4.0
SEDG,"SolarEdge Technologies, Inc.",Technology,Solar,2008055680.0,5.0
RELX,RELX PLC,Industrials,Specialty Business Services,85283356672.0,1.0
CTAS,Cintas Corporation,Industrials,Specialty Business Services,84637466624.0,2.0
TRI,Thomson Reuters Corporation,Industrials,Specialty Business Services,80046694400.0,3.0
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,47196147712.0,4.0
GPN,Global Payments Inc.,Industrials,Specialty Business Services,21548353536.0,5.0
LIN,Linde plc,Basic Materials,Specialty Chemicals,224274972672.0,1.0
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,91213488128.0,2.0
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,78575468544.0,3.0
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,65455353856.0,4.0
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,32207710208.0,5.0
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,166865141760.0,1.0
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,135920205824.0,2.0
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,96195977216.0,3.0
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,77145473024.0,4.0
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,74289602560.0,5.0
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,32729835520.0,1.0
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,22919659520.0,2.0
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,22093225984.0,3.0
CASY,"Casey's General Stores, Inc.",Consumer Cyclical,Specialty Retail,18386747392.0,4.0
DKS,"DICK'S Sporting Goods, Inc.",Consumer Cyclical,Specialty Retail,17044579328.0,5.0
KFY,Korn Ferry,Industrials,Staffing & Employment Services,3879568128.0,1.0
RHI,Robert Half Inc.,Industrials,Staffing & Employment Services,3796899328.0,2.0
TNET,"TriNet Group, Inc.",Industrials,Staffing & Employment Services,3518880512.0,3.0
NSP,"Insperity, Inc.",Industrials,Staffing & Employment Services,2080341760.0,4.0
MAN,ManpowerGroup Inc.,Industrials,Staffing & Employment Services,1962742656.0,5.0
NUE,Nucor Corporation,Basic Materials,Steel,34138740736.0,1.0
MT,ArcelorMittal S.A.,Basic Materials,Steel,25369946112.0,2.0
STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,19272077312.0,3.0
PKX,POSCO Holdings Inc.,Basic Materials,Steel,15605098496.0,4.0
RS,"Reliance, Inc.",Basic Materials,Steel,15549794304.0,5.0
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,283594588160.0,1.0
T,AT&T Inc.,Communication Services,Telecom Services,209434918912.0,2.0
CMCSA,Comcast Corporation,Communication Services,Telecom Services,125424377856.0,3.0
AMX,"América Móvil, S.A.B. de C.V.",Communication Services,Telecom Services,60329218048.0,4.0
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,36275838976.0,5.0
AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,1871518976.0,1.0
